Location,Weed,Cocaine,Ludes,Acid,Speed,Heroin,Oxycontin,Zoloft,Fentanyl,Krokodil,Coke,Crack,PCP,LSD,Shrooms,Soma,Xanax,Molly,Adderall
The Bayou,51,102,77,129,103,66,73,75,125,87,95,146,131,91,98,59,53,74,64
Atlanta,109,139,57,136,78,140,69,71,96,147,61,52,56,82,112,98,81,89,59
Compton,60,112,118,117,70,95,103,137,138,109,103,139,112,132,77,145,66,62,96
Oakland,122,73,103,55,63,106,104,128,129,124,111,117,67,104,98,63,69,123,142
SOMA,56,63,96,96,132,85,86,74,87,107,107,64,57,115,106,85,59,107,52
Hong Kong,79,143,143,90,128,134,53,65,50,55,108,73,122,97,86,134,143,115,62
London,66,83,87,135,150,131,72,105,98,54,131,104,51,119,128,141,129,113,77
Chicago,110,120,52,112,146,147,63,115,70,51,129,75,146,142,96,104,73,52,120
Brooklyn,64,117,105,90,109,61,144,53,66,109,65,86,103,146,81,150,139,96,64
Detroit,78,80,127,72,83,144,147,114,66,84,52,101,107,142,69,126,70,88,81
Mob Town,109,109,116,52,82,136,130,92,85,87,134,147,73,51,67,77,150,99,105
Murdertown,116,102,57,80,129,83,66,88,74,93,89,66,124,52,100,138,60,65,116
Sin City,115,112,120,132,103,126,138,117,66,148,56,106,106,53,123,82,79,123,61
Big Smoke,96,66,95,84,113,59,149,118,65,81,128,111,149,134,54,119,121,88,124
The Backwoods,139,77,149,141,139,79,139,115,91,122,121,117,118,57,61,73,129,55,52
The Big Easy,118,53,110,55,79,142,94,100,105,108,103,132,149,59,85,102,93,65,73
Queens,138,121,96,88,70,111,128,57,139,88,141,117,116,123,150,76,119,128,82
BedStuy,114,76,54,111,146,85,139,60,108,59,97,150,87,125,55,56,132,135,59
Buffalo,143,97,114,79,81,91,90,148,111,55,127,147,86,85,95,52,93,119,60
